model,y,x
BCC-CSM2-MR,3.02,3.62522595200892
CESM2,5.15,3.5913279857859663
CESM2-WACCM,4.68,4.134648134906223
CNRM-CM6-1,4.9,3.656740634605381
CNRM-ESM2-1,4.79,3.6952905361521697
CanESM5,5.64,3.6321101791035577
EC-Earth3-AerChem,3.87,4.304502861988692
GFDL-ESM4,2.65,3.2243599900837046
GISS-E2-1-G,2.71,2.7060610830859684
GISS-E2-1-H,3.12,2.9576588235327854
HadGEM3-GC31-LL,5.55,5.205909490616452
HadGEM3-GC31-MM,5.44,5.192811788867607
IPSL-CM6A-LR,4.7,3.9038798627700224
IPSL-CM6A-LR-INCA,4.13,3.810155563262752
MIROC-ES2L,2.66,3.5431260626066434
MIROC6,2.6,3.3424969470600763
MPI-ESM-1-2-HAM,2.95,3.9335869349967734
MPI-ESM1-2-HR,2.98,3.863540464720984
MPI-ESM1-2-LR,3.03,3.521192556904638
MRI-ESM2-0,3.13,3.6500262832312504
NorESM2-LM,2.56,4.31527999139109
NorESM2-MM,2.49,2.709359920214757
TaiESM1,4.36,4.732900345349802
UKESM1-0-LL,5.36,5.217807606753642